date,country,category,rank,title
2025-01-01,world,TV,1,Carry-On
2025-01-01,world,TV,2,The Six Triple Eight
2025-01-01,world,TV,3,Godzilla x Kong: The New Empire
2025-01-01,world,TV,4,Dune: Part Two
2025-01-01,world,TV,5,The Watchers
2025-01-01,world,TV,6,The Forge
2025-01-01,world,TV,7,Furiosa: A Mad Max Saga
2025-01-01,world,TV,8,Mad Max: Fury Road
2025-01-01,world,TV,9,It Ends with Us
2025-01-01,world,TV,10,Horizon: An American Saga - Chapter 1
2025-01-02,world,TV,1,Carry-On
2025-01-02,world,TV,2,The Six Triple Eight
2025-01-02,world,TV,3,Interstellar
2025-01-02,world,TV,4,The Watchers
2025-01-02,world,TV,5,Dune: Part Two
2025-01-02,world,TV,6,Godzilla x Kong: The New Empire
2025-01-02,world,TV,7,In the Heart of the Sea
2025-01-02,world,TV,8,Furiosa: A Mad Max Saga
2025-01-02,world,TV,9,The SpongeBob Movie: Sponge Out of Water
2025-01-02,world,TV,10,Horizon: An American Saga - Chapter 1
2025-01-03,world,TV,1,Carry-On
2025-01-03,world,TV,2,In the Heart of the Sea
2025-01-03,world,TV,3,Interstellar
2025-01-03,world,TV,4,Horizon: An American Saga - Chapter 1
2025-01-03,world,TV,5,The SpongeBob Movie: Sponge Out of Water
2025-01-03,world,TV,6,The Six Triple Eight
2025-01-03,world,TV,7,Furiosa: A Mad Max Saga
2025-01-03,world,TV,8,The Watchers
2025-01-03,world,TV,9,Dune: Part Two
2025-01-03,world,TV,10,Godzilla x Kong: The New Empire
2025-01-04,world,TV,1,In the Heart of the Sea
2025-01-04,world,TV,2,Horizon: An American Saga - Chapter 1
2025-01-04,world,TV,3,Carry-On
2025-01-04,world,TV,4,Furiosa: A Mad Max Saga
2025-01-04,world,TV,5,Interstellar
2025-01-04,world,TV,6,The Watchers
2025-01-04,world,TV,7,The SpongeBob Movie: Sponge Out of Water
2025-01-04,world,TV,8,The Six Triple Eight
2025-01-04,world,TV,9,Godzilla x Kong: The New Empire
2025-01-04,world,TV,10,Dune: Part Two
2025-01-05,world,TV,1,In the Heart of the Sea
2025-01-05,world,TV,2,Horizon: An American Saga - Chapter 1
2025-01-05,world,TV,3,Furiosa: A Mad Max Saga
2025-01-05,world,TV,4,Carry-On
2025-01-05,world,TV,5,The Watchers
2025-01-05,world,TV,6,Interstellar
2025-01-05,world,TV,7,The Six Triple Eight
2025-01-05,world,TV,8,The SpongeBob Movie: Sponge Out of Water
2025-01-05,world,TV,9,Despicable Me
2025-01-05,world,TV,10,Despicable Me 2
2025-01-06,world,TV,1,In the Heart of the Sea
2025-01-06,world,TV,2,Horizon: An American Saga - Chapter 1
2025-01-06,world,TV,3,Furiosa: A Mad Max Saga
2025-01-06,world,TV,4,The Watchers
2025-01-06,world,TV,5,Despicable Me
2025-01-06,world,TV,6,Despicable Me 2
2025-01-06,world,TV,7,Carry-On
2025-01-06,world,TV,8,Interstellar
2025-01-06,world,TV,9,The SpongeBob Movie: Sponge Out of Water
2025-01-06,world,TV,10,The Six Triple Eight
2025-01-07,world,TV,1,In the Heart of the Sea
2025-01-07,world,TV,2,Horizon: An American Saga - Chapter 1
2025-01-07,world,TV,3,Despicable Me
2025-01-07,world,TV,4,Despicable Me 2
2025-01-07,world,TV,5,Furiosa: A Mad Max Saga
2025-01-07,world,TV,6,The Watchers
2025-01-07,world,TV,7,Carry-On
2025-01-07,world,TV,8,The SpongeBob Movie: Sponge Out of Water
2025-01-07,world,TV,9,Rush Hour
2025-01-07,world,TV,10,Interstellar
2025-01-08,world,TV,1,Despicable Me 2
2025-01-08,world,TV,2,Despicable Me
2025-01-08,world,TV,3,In the Heart of the Sea
2025-01-08,world,TV,4,Horizon: An American Saga - Chapter 1
2025-01-08,world,TV,5,Rush Hour
2025-01-08,world,TV,6,Furiosa: A Mad Max Saga
2025-01-08,world,TV,7,Due Date
2025-01-08,world,TV,8,The Watchers
2025-01-08,world,TV,9,The SpongeBob Movie: Sponge Out of Water
2025-01-08,world,TV,10,Carry-On
2025-01-09,world,TV,1,Despicable Me 2
2025-01-09,world,TV,2,Despicable Me
2025-01-09,world,TV,3,Rush Hour
2025-01-09,world,TV,4,Due Date
2025-01-09,world,TV,5,Horizon: An American Saga - Chapter 1
2025-01-09,world,TV,6,In the Heart of the Sea
2025-01-09,world,TV,7,Furiosa: A Mad Max Saga
2025-01-09,world,TV,8,The Watchers
2025-01-09,world,TV,9,The SpongeBob Movie: Sponge Out of Water
2025-01-09,world,TV,10,Rush Hour 2
2025-01-10,world,TV,1,Despicable Me 2
2025-01-10,world,TV,2,Despicable Me
2025-01-10,world,TV,3,Rush Hour
2025-01-10,world,TV,4,Due Date
2025-01-10,world,TV,5,Horizon: An American Saga - Chapter 1
2025-01-10,world,TV,6,Rush Hour 2
2025-01-10,world,TV,7,In the Heart of the Sea
2025-01-10,world,TV,8,Hotel Transylvania 2
2025-01-10,world,TV,9,Furiosa: A Mad Max Saga
2025-01-10,world,TV,10,The Watchers
2025-01-11,world,TV,1,Despicable Me 2
2025-01-11,world,TV,2,Despicable Me
2025-01-11,world,TV,3,Ad Vitam
2025-01-11,world,TV,4,Rush Hour
2025-01-11,world,TV,5,Due Date
2025-01-11,world,TV,6,Horizon: An American Saga - Chapter 1
2025-01-11,world,TV,7,Rush Hour 2
2025-01-11,world,TV,8,Hotel Transylvania 2
2025-01-11,world,TV,9,The Watchers
2025-01-11,world,TV,10,Rush Hour 3
2025-01-13,world,TV,1,Ad Vitam
2025-01-13,world,TV,2,Despicable Me 2
2025-01-13,world,TV,3,Despicable Me
2025-01-13,world,TV,4,Rush Hour
2025-01-13,world,TV,5,Due Date
2025-01-13,world,TV,6,Hotel Transylvania 2
2025-01-13,world,TV,7,The Age of Adaline
