date,country,category,rank,title
2026-07-06,united-states,TV,1,Enola Holmes 3
2026-07-06,united-states,TV,2,Little Brother
2026-07-06,united-states,TV,3,Voicemails for Isabelle
2026-07-06,united-states,TV,4,Spider-Man: Homecoming
2026-07-06,united-states,TV,5,Old Henry
2026-07-06,united-states,TV,6,Gone Girl
2026-07-06,united-states,TV,7,Hunting Housewives
2026-07-06,united-states,TV,8,White Chicks
2026-07-06,united-states,TV,9,The Boss Baby
2026-07-06,united-states,TV,10,Minions: The Rise of Gru
2026-07-06,united-states,TV,11,Worst Neighbor Ever
2026-07-06,united-states,TV,12,I Will Find You
2026-07-06,united-states,TV,13,Sullivan's Crossing
2026-07-06,united-states,TV,14,Avatar the Last Airbender
2026-07-06,united-states,TV,15,Salish & Jordan Matter
2026-07-06,united-states,TV,16,Survival of the Thickest
2026-07-06,united-states,TV,17,Agent Kim Reactivated
2026-07-06,united-states,TV,18,Dark Winds
2026-07-06,united-states,TV,19,The Polygamist
2026-07-06,united-states,TV,20,Louis C.K.: Ridiculous
2026-07-06,united-states,TV,21,The Boss Baby
2026-07-06,united-states,TV,22,Minions: The Rise of Gru
2026-07-06,united-states,TV,23,Charlie and the Chocolate Factory
2026-07-06,united-states,TV,24,A Dog's Purpose
2026-07-06,united-states,TV,25,Despicable Me 3
2026-07-06,united-states,TV,26,KPop Demon Hunters
2026-07-06,united-states,TV,27,GOAT
2026-07-06,united-states,TV,28,Home
2026-07-06,united-states,TV,29,A Dog's Journey
2026-07-06,united-states,TV,30,The Secret Life of Pets
2026-07-06,united-states,TV,31,Salish & Jordan Matter
2026-07-06,united-states,TV,32,Ms. Rachel
2026-07-06,united-states,TV,33,Danny Go!
2026-07-06,united-states,TV,34,Bebefinn
2026-07-06,united-states,TV,35,Paw Patrol
2026-07-06,united-states,TV,36,Sesame Street
2026-07-06,united-states,TV,37,Little Angel
2026-07-06,united-states,TV,38,Detetive Labrador
2026-07-06,united-states,TV,39,Avatar: The Last Airbender
2026-07-06,united-states,TV,40,Peppa Pig
2026-07-07,united-states,TV,1,Enola Holmes 3
2026-07-07,united-states,TV,2,Old Henry
2026-07-07,united-states,TV,3,Spider-Man: Homecoming
2026-07-07,united-states,TV,4,Voicemails for Isabelle
2026-07-07,united-states,TV,5,White Chicks
2026-07-07,united-states,TV,6,Little Brother
2026-07-07,united-states,TV,7,Gone Girl
2026-07-07,united-states,TV,8,The Boss Baby
2026-07-07,united-states,TV,9,Charlie and the Chocolate Factory
2026-07-07,united-states,TV,10,Hunting Housewives
2026-07-07,united-states,TV,11,Raw
2026-07-07,united-states,TV,12,Worst Neighbor Ever
2026-07-07,united-states,TV,13,I Will Find You
2026-07-07,united-states,TV,14,Sullivan's Crossing
2026-07-07,united-states,TV,15,Avatar the Last Airbender
2026-07-07,united-states,TV,16,Salish & Jordan Matter
2026-07-07,united-states,TV,17,Survival of the Thickest
2026-07-07,united-states,TV,18,Dark Winds
2026-07-07,united-states,TV,19,The Polygamist
2026-07-07,united-states,TV,20,Agent Kim Reactivated
2026-07-07,united-states,TV,21,The Boss Baby
